date,symbol,action,confidence,actual_return,equity
127,000001,hold,0.5252,-0.005519779208831529,99658.2108981907
128,000001,sell,0.4,0.0,99658.2108981907
129,000001,sell,0.3998,-0.0027752081406106507,99658.2108981907
130,000001,sell,0.3993,-0.0027829313543598667,99658.2108981907
131,000001,sell,0.3991,0.005581395348837255,99658.2108981907
132,000001,hold,0.3061,0.0027752081406104863,99658.2108981907
133,000001,hold,0.3059,-0.0027675276752766936,99658.2108981907
134,000001,hold,0.306,0.014801110083256257,99658.2108981907
135,000001,hold,0.3059,0.006381039197812079,99658.2108981907
136,000001,hold,0.5257,0.011775362318840651,99658.2108981907
137,000001,hold,0.3054,-0.011638316920322363,99658.2108981907
138,000001,hold,0.5256,0.001811594202898673,99658.2108981907
139,000001,buy,0.6312,0.0009041591320072139,99644.04973051632
140,000001,hold,0.3052,0.007226738934056014,99652.58285219087
141,000001,buy,0.6325,0.009865470852017886,99708.00266181031
142,000001,buy,0.5345,-0.006216696269982263,99876.49752003269
143,000001,buy,0.6345,-0.003574620196604035,99711.59711180616
144,000001,hold,0.3048,-0.004484304932735489,99597.94784928103
145,000001,hold,0.3049,-0.006306306306306332,99455.8862711246
146,000001,hold,0.3051,-0.0009066183136899172,99257.00006170562
147,000001,hold,0.3054,-0.005444646098003514,99228.58774607434
148,000001,hold,0.3061,0.010036496350364911,99058.11385228664
149,000001,hold,0.3069,0.013550135501355046,99370.64932423076
150,000001,hold,0.3075,-0.006238859180035676,99796.83405870001
151,000001,hold,0.3082,-0.000896860986547066,99597.94784928103
152,000001,buy,0.6354,0.003590664272890408,99559.82338838093
153,000001,buy,0.6351,0.007155635062611813,99687.92841693021
154,000001,buy,0.4158,0.003552397868561361,99998.40065955438
155,000001,buy,0.4172,0.0008849557522123705,100163.66335433444
156,000001,buy,0.4192,0.001768346595932765,100204.47974681197
157,000001,buy,0.4212,0.004413062665489913,100296.42285562755
158,000001,buy,0.4233,-0.0070298769771529055,100545.80661004895
159,000001,hold,0.315,-0.007079646017699121,100121.12557929981
160,000001,hold,0.316,0.017825311942958937,99696.44454855067
161,000001,buy,0.4288,0.004378283712784651,100754.27482108837
162,000001,buy,0.4306,-0.013077593722755044,101027.35955213459
163,000001,hold,0.3188,-0.007950530035335676,100165.46279053643
